season,month,item_nm,kind_nm,product_no,category_nm
겨울,1,배추,월동,295,채소류
겨울,1,배추,월동,296,채소류
겨울,1,연근,연근,1962,채소류
겨울,1,연근,연근,1961,채소류
겨울,1,우엉,우엉,1965,채소류
겨울,1,우엉,우엉,1963,채소류
겨울,1,무,월동,331,채소류
겨울,1,무,월동,332,채소류
겨울,1,감귤,노지,1013,과일류
겨울,1,감귤,노지,1014,과일류
겨울,1,감귤,감귤,425,과일류
겨울,1,감귤,감귤,426,과일류
겨울,1,감귤,감귤,1469,과일류
겨울,1,감귤,감귤,1468,과일류
겨울,1,명태,생선,469,수산물
겨울,2,배추,봄,289,채소류
겨울,2,배추,봄,290,채소류
겨울,2,배추,봄,1429,채소류
겨울,2,배추,봄,1428,채소류
겨울,2,배추,월동,295,채소류
겨울,2,배추,월동,296,채소류
겨울,2,딸기,딸기,323,채소류
겨울,2,딸기,딸기,324,채소류
겨울,2,딸기,딸기,1423,채소류
겨울,2,딸기,딸기,1422,채소류
겨울,2,무,월동,331,채소류
겨울,2,무,월동,332,채소류
겨울,2,양파,양파,361,채소류
겨울,2,양파,양파,362,채소류
겨울,2,양파,양파,1445,채소류
겨울,2,양파,양파,1444,채소류
겨울,2,양파,햇양파,363,채소류
겨울,2,양파,햇양파,364,채소류
겨울,2,김,마른김,475,수산물
봄,3,감자,수미(시설),1902,식량작물
봄,3,감자,수미(시설),1903,식량작물
봄,3,감자,기타(시설),2249,식량작물
봄,3,감자,기타(시설),2250,식량작물
봄,3,배추,봄,289,채소류
봄,3,배추,봄,290,채소류
봄,3,배추,봄,1429,채소류
봄,3,배추,봄,1428,채소류
봄,3,토마토,토마토,321,채소류
봄,3,토마토,토마토,322,채소류
봄,3,토마토,토마토,1453,채소류
봄,3,토마토,토마토,1452,채소류
봄,3,무,월동,331,채소류
봄,3,무,월동,332,채소류
봄,3,미나리,미나리,373,채소류
봄,3,미나리,미나리,374,채소류
봄,4,감자,대지마,287,식량작물
봄,4,감자,대지마,288,식량작물
봄,4,감자,수미(시설),1902,식량작물
봄,4,감자,수미(시설),1903,식량작물
봄,4,감자,기타(시설),2249,식량작물
봄,4,감자,기타(시설),2250,식량작물
봄,4,배추,봄,289,채소류
봄,4,배추,봄,290,채소류
봄,4,배추,봄,1429,채소류
봄,4,배추,봄,1428,채소류
봄,4,토마토,토마토,321,채소류
봄,4,토마토,토마토,322,채소류
봄,4,토마토,토마토,1453,채소류
봄,4,토마토,토마토,1452,채소류
봄,5,양파,양파,361,채소류
봄,5,양파,양파,362,채소류
봄,5,양파,양파,1445,채소류
봄,5,양파,양파,1444,채소류
봄,5,양파,햇양파,363,채소류
봄,5,양파,햇양파,364,채소류
봄,5,무,봄,325,채소류
봄,5,무,봄,326,채소류
봄,5,무,봄,1427,채소류
봄,5,무,봄,1426,채소류
봄,5,토마토,토마토,321,채소류
봄,5,토마토,토마토,322,채소류
봄,5,토마토,토마토,1453,채소류
봄,5,토마토,토마토,1452,채소류
봄,5,상추,적,301,채소류
봄,5,상추,적,302,채소류
봄,5,상추,적,1435,채소류
봄,5,상추,적,1434,채소류
봄,5,상추,청,303,채소류
봄,5,상추,청,304,채소류
봄,5,상추,청,1437,채소류
봄,5,상추,청,1436,채소류
봄,5,감자,수미(시설),1902,식량작물
봄,5,감자,수미(시설),1903,식량작물
봄,5,감자,기타(시설),2249,식량작물
봄,5,감자,기타(시설),2250,식량작물
봄,5,감자,대지마,287,식량작물
봄,5,감자,대지마,288,식량작물
여름,6,감자,감자,283,식량작물
여름,6,감자,감자,284,식량작물
여름,6,감자,수미(노지),285,식량작물
여름,6,감자,수미(노지),286,식량작물
여름,6,감자,수미(노지),1397,식량작물
여름,6,감자,수미(노지),1396,식량작물
여름,6,감자,노지,1898,식량작물
여름,6,감자,노지,1899,식량작물
여름,6,감자,기타(노지),2251,식량작물
여름,6,감자,기타(노지),2252,식량작물
여름,6,귀리,귀리,1409,식량작물
여름,6,귀리,귀리,1408,식량작물
여름,6,보리,보리,1411,식량작물
여름,6,보리,보리,1410,식량작물
여름,6,오이,가시계통,311,채소류
여름,6,오이,가시계통,312,채소류
여름,6,오이,취청,315,채소류
여름,6,오이,취청,316,채소류
여름,6,호박,쥬키니,319,채소류
여름,6,호박,쥬키니,320,채소류
여름,6,무,봄,325,채소류
여름,6,무,봄,326,채소류
여름,6,무,봄,1427,채소류
여름,6,무,봄,1426,채소류
여름,6,열무,열무,339,채소류
여름,6,열무,열무,340,채소류
여름,6,풋고추,오이맛고추,1998,채소류
여름,6,풋고추,오이맛고추,1999,채소류
여름,6,풋고추,오이맛고추,1461,채소류
여름,6,풋고추,오이맛고추,1460,채소류
여름,6,방울토마토,방울토마토,437,채소류
여름,6,방울토마토,방울토마토,438,채소류
여름,6,방울토마토,방울토마토,1944,채소류
여름,6,방울토마토,방울토마토,1943,채소류
여름,6,방울토마토,대추방울토마토,1080,채소류
여름,6,방울토마토,대추방울토마토,1081,채소류
여름,6,포도,델라웨어,420,과일류
여름,6,포도,델라웨어,421,과일류
여름,7,전복,전복,940,수산물
여름,7,감귤,시설,1015,과일류
여름,7,감귤,시설,1016,과일류
여름,7,포도,델라웨어,420,과일류
여름,7,포도,델라웨어,421,과일류
여름,7,복숭아,창방조생,413,과일류
여름,7,사과,쓰가루(아오리),400,과일류
여름,7,사과,쓰가루(아오리),401,과일류
여름,7,가지,가지,371,채소류
여름,7,가지,가지,372,채소류
여름,7,가지,가지,1417,채소류
여름,7,가지,가지,1416,채소류
여름,7,풋고추,오이맛고추,1998,채소류
여름,7,풋고추,오이맛고추,1999,채소류
여름,7,풋고추,오이맛고추,1461,채소류
여름,7,풋고추,오이맛고추,1460,채소류
여름,7,붉은고추,붉은고추,355,채소류
여름,7,붉은고추,붉은고추,356,채소류
여름,7,풋고추,풋고추(녹광 등),349,채소류
여름,7,풋고추,풋고추(녹광 등),350,채소류
여름,7,풋고추,풋고추(녹광 등),1457,채소류
여름,7,풋고추,풋고추(녹광 등),1456,채소류
여름,7,풋고추,꽈리고추,351,채소류
여름,7,풋고추,꽈리고추,352,채소류
여름,7,풋고추,꽈리고추,1463,채소류
여름,7,풋고추,꽈리고추,1462,채소류
여름,7,수박,수박,307,채소류
여름,7,수박,수박,308,채소류
여름,7,수박,수박,1968,채소류
여름,7,수박,수박,1955,채소류
여름,7,참외,참외,309,채소류
여름,7,참외,참외,310,채소류
여름,7,참외,참외,1946,채소류
여름,7,참외,참외,1945,채소류
여름,7,오이,가시계통,311,채소류
여름,7,오이,가시계통,312,채소류
여름,7,오이,다다기계통,313,채소류
여름,7,오이,다다기계통,314,채소류
여름,7,오이,다다기계통,1948,채소류
여름,7,오이,다다기계통,1947,채소류
여름,7,오이,취청,315,채소류
여름,7,오이,취청,316,채소류
여름,7,호박,애호박,317,채소류
여름,7,호박,애호박,318,채소류
여름,7,호박,애호박,1467,채소류
여름,7,호박,애호박,1466,채소류
여름,7,호박,쥬키니,319,채소류
여름,7,호박,쥬키니,320,채소류
여름,7,양배추,양배추,297,채소류
여름,7,양배추,양배추,298,채소류
여름,7,양배추,양배추,1441,채소류
여름,7,양배추,양배추,1440,채소류
여름,7,감자,수미(노지),285,식량작물
여름,7,감자,수미(노지),286,식량작물
여름,7,감자,수미(노지),1397,식량작물
여름,7,감자,수미(노지),1396,식량작물
여름,7,감자,노지,1898,식량작물
여름,7,감자,노지,1899,식량작물
여름,7,감자,기타(노지),2251,식량작물
여름,7,감자,기타(노지),2252,식량작물
여름,7,귀리,귀리,1409,식량작물
여름,7,귀리,귀리,1408,식량작물
여름,8,쌀,20kg(햅쌀),273,식량작물
여름,8,쌀,10kg(햅쌀),1556,식량작물
여름,8,녹두,국산,279,식량작물
